Consecutivo,Estado,Region,Municipio,Uso Suelo,Acto Juridico,Año
93,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
94,JALISCO,GUADALAJARA,GUADALAJARA,,Hipoteca,2017
95,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
96,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
97,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
98,JALISCO,GUADALAJARA,TONALA,HABITACIONAL,Hipoteca,2017
99,JALISCO,GUADALAJARA,ZAPOPAN,URBANO,Hipoteca,2017
100,JALISCO,GUADALAJARA,GUADALAJARA,COMERCIAL,Hipoteca,2017
101,JALISCO,GUADALAJARA,GUADALAJARA,COMERCIAL,Hipoteca,2017
102,JALISCO,GUADALAJARA,GUADALAJARA,COMERCIAL,Hipoteca,2017
103,JALISCO,GUADALAJARA,GUADALAJARA,COMERCIAL,Hipoteca,2017
104,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
105,JALISCO,GUADALAJARA,ZAPOPAN,HABITACION.,Hipoteca,2017
106,JALISCO,GUADALAJARA,GUADALAJARA,COMERCIAL,Hipoteca,2017
107,JALISCO,GUADALAJARA,GUADALAJARA,COMERCIAL,Hipoteca,2017
108,JALISCO,GUADALAJARA,GUADALAJARA,COMERCIAL,Hipoteca,2017
109,JALISCO,GUADALAJARA,GUADALAJARA,COMERCIAL,Hipoteca,2017
110,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
111,JALISCO,GUADALAJARA,TONALA,HABITACIONAL,Hipoteca,2017
112,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
113,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
114,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
115,JALISCO,GUADALAJARA,TONALA,NO CONSTA,Hipoteca,2017
116,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
117,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
118,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
119,JALISCO,GUADALAJARA,GUADALAJARA,,Hipoteca,2017
120,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
121,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
122,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
123,JALISCO,GUADALAJARA,TLAJOMULCO DE ZUÑIGA,HABITACIONAL,Hipoteca,2017
124,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
125,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
126,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
127,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
128,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
129,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
130,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
131,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
132,JALISCO,GUADALAJARA,ZAPOPAN,NO CONSTA,Hipoteca,2017
133,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
134,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
135,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
136,JALISCO,GUADALAJARA,GUADALAJARA,URBANO,Hipoteca,2017
137,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
138,JALISCO,GUADALAJARA,TLAQUEPAQUE,NO CONSTA,Hipoteca,2017
139,JALISCO,GUADALAJARA,TONALA,HABITACIONAL,Hipoteca,2017
140,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
141,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
142,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
143,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
144,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
145,JALISCO,GUADALAJARA,TONALA,HABITACIONAL,Hipoteca,2017
146,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
147,JALISCO,GUADALAJARA,ZAPOPAN,,Hipoteca,2017
148,JALISCO,GUADALAJARA,TLAQUEPAQUE,,Hipoteca,2017
149,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
150,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
151,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
152,JALISCO,GUADALAJARA,TONALA,HABITACIONAL,Hipoteca,2017
153,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
154,JALISCO,GUADALAJARA,TONALA,NO CONSTA,Hipoteca,2017
155,JALISCO,GUADALAJARA,TONALA,HABITACIONAL,Hipoteca,2017
156,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
157,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
158,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
159,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
160,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
161,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
162,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
163,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
164,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
165,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
166,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
167,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
168,JALISCO,GUADALAJARA,ZAPOPAN,URBANO,Hipoteca,2017
169,JALISCO,GUADALAJARA,TLAQUEPAQUE,RUSTICO,Hipoteca,2017
170,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
171,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
172,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
173,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
174,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
175,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
176,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
177,JALISCO,GUADALAJARA,ZAPOPAN,URBANO,Hipoteca,2017
178,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
179,JALISCO,GUADALAJARA,TONALA,HABITACIONAL,Hipoteca,2017
180,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
181,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
182,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
183,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
